store_id,user_id,grade,detail
3,52,2.8,Aliquam sit amet diam in magna bibendum imperdiet.
168,130,4.9,Integer tincidunt ante vel ipsum.
65,71,4.2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
38,63,4.0,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl."
152,111,3.2,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
133,49,2.0,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
62,75,3.2,Sed sagittis.
35,60,4.5,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
113,25,4.8,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
133,1,4.1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
111,148,4.6,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
124,103,4.4,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
171,70,3.9,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
134,4,5.0,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
38,89,3.2,Duis aliquam convallis nunc.
164,64,2.6,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
93,24,2.8,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
156,49,3.6,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
32,94,3.9,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
84,27,2.5,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
85,109,2.7,Morbi non quam nec dui luctus rutrum.
118,188,4.3,Donec semper sapien a libero.
116,2,3.4,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
47,56,1.1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
70,22,1.4,Curabitur at ipsum ac tellus semper interdum.
141,100,2.0,Suspendisse potenti.
79,114,2.3,Aenean fermentum.
2,24,3.8,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
5,141,1.4,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
166,98,1.4,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
138,124,1.5,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
136,87,1.8,Cras pellentesque volutpat dui.
57,53,2.4,In eleifend quam a odio.
145,54,1.6,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
76,131,1.7,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
147,83,2.1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
155,160,3.5,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
143,129,2.8,Ut tellus.
116,75,3.8,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
120,19,3.7,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
105,175,2.5,Nulla nisl. Nunc nisl.
168,69,2.1,Donec posuere metus vitae ipsum. Aliquam non mauris.
51,155,1.9,Donec semper sapien a libero. Nam dui.
76,58,3.0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
143,14,2.6,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
165,18,2.3,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
21,151,2.3,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
99,177,4.8,Aliquam erat volutpat. In congue. Etiam justo.
55,165,1.3,Donec dapibus.
129,178,3.9,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
159,113,3.6,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
22,64,4.8,Vivamus tortor. Duis mattis egestas metus.
64,105,4.0,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
11,164,2.3,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
87,51,1.5,Suspendisse potenti.
173,66,2.0,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
73,97,1.2,Suspendisse potenti. Nullam porttitor lacus at turpis.
50,25,1.0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
86,177,4.3,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
44,157,1.6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
144,179,4.5,Donec semper sapien a libero.
30,174,4.7,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
10,107,4.1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
130,113,4.1,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
144,147,3.5,Praesent blandit lacinia erat.
16,105,1.3,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
94,150,5.0,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
48,101,4.7,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
123,47,4.3,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
15,84,2.0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
69,165,1.8,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
137,193,4.1,Morbi quis tortor id nulla ultrices aliquet.
105,55,3.8,Phasellus sit amet erat. Nulla tempus.
26,60,4.9,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
41,101,4.1,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
77,138,3.0,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
115,146,3.3,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
5,116,3.2,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
23,145,1.9,Aliquam non mauris. Morbi non lectus.
73,95,4.3,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
59,187,4.0,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
159,138,1.9,Aliquam quis turpis eget elit sodales scelerisque.
137,194,1.2,Quisque ut erat. Curabitur gravida nisi at nibh.
131,44,3.2,In eleifend quam a odio. In hac habitasse platea dictumst.
25,5,1.9,Sed accumsan felis. Ut at dolor quis odio consequat varius.
80,26,1.6,Suspendisse potenti. Cras in purus eu magna vulputate luctus.
5,94,2.5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.
34,111,4.5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
100,61,1.0,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
128,72,4.5,Duis mattis egestas metus. Aenean fermentum.
124,13,4.6,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
48,34,1.1,Donec quis orci eget orci vehicula condimentum.
7,119,3.7,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
147,85,1.0,Ut tellus.
3,79,4.6,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
149,128,4.1,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
32,146,3.3,Nullam sit amet turpis elementum ligula vehicula consequat.
107,134,4.0,Donec ut dolor.
86,43,4.1,Integer tincidunt ante vel ipsum.
24,121,1.5,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
29,90,2.3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
71,46,2.5,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
108,75,2.7,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.
62,188,1.4,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
147,17,4.1,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
64,137,2.7,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
36,18,4.0,Integer non velit.
140,120,2.3,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
29,107,4.0,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
57,19,1.1,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
104,63,3.7,In quis justo. Maecenas rhoncus aliquam lacus.
63,17,2.7,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
21,154,2.6,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
170,140,1.2,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
152,129,1.2,Nullam molestie nibh in lectus.
137,92,1.3,Duis bibendum. Morbi non quam nec dui luctus rutrum.
78,3,2.4,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
120,111,3.8,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
148,44,2.6,Etiam pretium iaculis justo. In hac habitasse platea dictumst.
80,73,3.8,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
98,193,2.1,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
63,50,1.6,Morbi non lectus.
158,127,3.0,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
19,11,4.0,Morbi vel lectus in quam fringilla rhoncus.
108,38,3.6,Pellentesque at nulla. Suspendisse potenti.
58,57,4.5,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
43,25,1.2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
136,140,4.2,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
154,3,4.3,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
153,105,3.7,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
110,166,4.9,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
35,104,3.5,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
126,152,1.8,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
155,35,2.7,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
139,117,2.6,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
103,29,4.8,Nulla tellus. In sagittis dui vel nisl.
45,38,3.8,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
62,60,2.3,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
81,10,1.0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
107,182,2.2,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
59,37,2.6,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
165,35,4.2,Morbi non lectus.
133,37,4.1,Pellentesque ultrices mattis odio. Donec vitae nisi.
69,24,2.7,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
16,1,3.5,Proin at turpis a pede posuere nonummy.
126,30,1.6,Pellentesque at nulla. Suspendisse potenti.
1,156,3.5,Proin eu mi.
88,147,3.3,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
62,139,3.0,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
78,137,2.5,Etiam vel augue. Vestibulum rutrum rutrum neque.
147,30,4.0,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
127,63,3.9,Phasellus in felis.
95,57,4.4,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
3,37,4.1,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
125,36,1.6,Nullam varius.
41,25,1.2,Sed ante.
63,63,4.8,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
19,186,2.4,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
62,88,2.6,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
3,85,3.4,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.
125,159,2.5,Aenean fermentum. Donec ut mauris eget massa tempor convallis.
84,164,3.4,Proin eu mi. Nulla ac enim.
69,143,1.0,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
125,67,1.6,Nunc rhoncus dui vel sem. Sed sagittis.
33,30,3.5,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
5,91,3.5,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
64,103,2.8,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
95,17,3.3,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
113,132,2.2,Morbi porttitor lorem id ligula.
117,45,4.6,Vestibulum rutrum rutrum neque.
63,100,3.5,Aenean lectus. Pellentesque eget nunc.
65,95,1.2,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
36,70,1.8,Maecenas ut massa quis augue luctus tincidunt.
143,188,1.4,Mauris lacinia sapien quis libero.
138,48,2.2,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
24,65,4.8,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
6,81,4.8,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
8,39,1.1,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.
109,34,1.2,Suspendisse ornare consequat lectus.
21,37,4.3,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
145,149,1.2,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
113,182,1.4,Pellentesque eget nunc.
44,57,2.5,Phasellus in felis. Donec semper sapien a libero. Nam dui.
76,74,3.6,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
37,125,1.8,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
148,113,4.8,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.
159,97,4.2,Pellentesque eget nunc.
132,18,3.0,Suspendisse potenti. Nullam porttitor lacus at turpis.
115,175,4.6,Nunc purus. Phasellus in felis.
102,147,3.1,Donec posuere metus vitae ipsum.
5,117,3.4,Vestibulum ac est lacinia nisi venenatis tristique.
67,40,1.0,Donec ut mauris eget massa tempor convallis.
127,124,3.5,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
128,154,2.4,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
62,180,2.7,Nulla ut erat id mauris vulputate elementum. Nullam varius.
30,45,4.3,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.
6,187,4.6,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
8,169,3.1,Nullam varius.
25,89,3.5,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
15,89,2.0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
115,10,3.6,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
15,18,2.4,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
145,6,1.8,Cras in purus eu magna vulputate luctus.
4,38,2.6,Vestibulum rutrum rutrum neque.
149,158,4.8,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
128,103,4.7,Aenean auctor gravida sem.
65,64,1.0,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
166,155,2.6,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus."
164,54,1.6,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
54,149,3.8,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
95,177,3.9,In congue. Etiam justo.
